==========================================
Atan Simulation
==========================================
At                 2780ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2790ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2800ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2810ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2820ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2830ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2840ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2850ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2860ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2870ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2880ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2890ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2900ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2910ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2920ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2930ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 2940ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2950ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 2960ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2970ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 2980ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 2990ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3000ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3010ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3020ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3030ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3040ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3050ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3060ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3070ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 3080ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3090ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 3100ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3110ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3120ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3130ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3140ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3150ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3160ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3170ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3180ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3190ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3200ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3210ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3220ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 3230ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3240ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3250ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3260ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
At                 3270ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3280ns, the test case PASS! error_percent: 0.000015, arctan output: 89.999989, expected: 90.000003
At                 3290ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3300ns, the test case FAIL! error_percent: 199.999985, arctan output: -89.999989, expected: 90.000003
At                 3310ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3320ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3330ns, the test case PASS! error_percent: 0.000015, arctan output: -89.999989, expected: -90.000003
At                 3340ns, the test case FAIL! error_percent: 199.999985, arctan output: 89.999989, expected: -90.000003
